,Season,Name,Salary,Pos,Age,Team,GP,GS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG%,3P%,2P%,eFG%,FT%,GS/GP,MPG,ORPG,DRPG,RPG,APG,SPG,BPG,TPG,PFPG,PPG,FGPG,FGAPG,3PPG,3PAPG,2PPG,2PAPG,FTPG,FTAPG,Cap,% of Cap
0,1995.0,A.C. Green,6473000.0,3.0,31.0,PHO,82.0,52.0,14.2,0.596,0.20600000000000002,0.556,8.3,20.4,14.3,6.5,1.0,0.8,12.9,14.2,4.6,2.1,6.7,0.12,0.6,0.2,0.7,1.9,0.504,0.33899999999999997,0.547,0.539,0.732,0.6341463414634146,32.76829268292683,2.3658536585365852,5.7926829268292686,8.158536585365853,1.548780487804878,0.6707317073170732,0.3780487804878049,1.3902439024390243,1.7804878048780488,11.170731707317072,3.792682926829268,7.524390243902439,0.524390243902439,1.548780487804878,3.268292682926829,5.975609756097561,3.0609756097560976,4.182926829268292,23000000,28.143478260869564
1,1995.0,Aaron McKie,845000.0,2.0,22.0,POR,45.0,20.0,13.3,0.5,0.107,0.28,4.6,13.5,8.8,15.9,2.2,1.4,11.7,17.0,0.8,1.2,2.0,0.115,-1.2,1.3,0.1,0.4,0.444,0.39299999999999996,0.451,0.466,0.685,0.4444444444444444,18.377777777777776,0.7777777777777778,2.088888888888889,2.8666666666666667,1.9777777777777779,0.8,0.35555555555555557,0.8666666666666667,2.1555555555555554,6.511111111111111,2.577777777777778,5.8,0.24444444444444444,0.6222222222222222,2.3333333333333335,5.177777777777778,1.1111111111111112,1.6222222222222222,23000000,3.6739130434782608
4,1995.0,Acie Earl,1040000.0,5.0,24.0,BOS,30.0,3.0,6.6,0.409,0.0,0.426,10.4,14.6,12.5,1.4,1.5,2.6,14.8,19.7,-0.4,0.2,-0.2,-0.038,-6.8,-1.9,-8.7,-0.4,0.382,0.0,0.382,0.382,0.483,0.1,6.933333333333334,0.6333333333333333,0.8666666666666667,1.5,0.06666666666666667,0.2,0.26666666666666666,0.4666666666666667,1.3,2.2,0.8666666666666667,2.2666666666666666,0.0,0.0,0.8666666666666667,2.2666666666666666,0.4666666666666667,0.9666666666666667,23000000,4.521739130434783
5,1995.0,Adam Keefe,1650000.0,3.0,24.0,UTA,75.0,0.0,15.1,0.616,0.0,0.581,14.0,18.0,16.1,3.5,1.5,1.6,14.2,15.6,2.4,1.7,4.1,0.154,0.6,0.2,0.8,0.9,0.5770000000000001,0.0,0.5770000000000001,0.5770000000000001,0.6759999999999999,0.0,16.933333333333334,1.8,2.56,4.36,0.4,0.48,0.3333333333333333,0.8266666666666667,1.88,6.1466666666666665,2.2933333333333334,3.973333333333333,0.0,0.0,2.2933333333333334,3.973333333333333,1.56,2.3066666666666666,23000000,7.173913043478261
11,1995.0,Alonzo Mourning,4560000.0,5.0,24.0,NOP,77.0,77.0,20.1,0.593,0.031,0.585,8.4,21.6,15.3,6.6,0.9,5.5,14.8,25.6,4.3,5.1,9.4,0.153,-0.8,2.1,1.3,2.5,0.519,0.324,0.525,0.524,0.7609999999999999,1.0,38.1948051948052,2.5974025974025974,7.285714285714286,9.883116883116884,1.4415584415584415,0.6363636363636364,2.9220779220779223,3.1298701298701297,3.5714285714285716,21.337662337662337,7.415584415584416,14.2987012987013,0.14285714285714285,0.44155844155844154,7.2727272727272725,13.857142857142858,6.363636363636363,8.363636363636363,23000000,19.82608695652174
13,1995.0,Alton Lister,300000.0,5.0,36.0,MIL,60.0,32.0,10.2,0.507,0.006999999999999999,0.522,10.1,27.0,18.3,2.3,1.1,5.5,18.7,11.6,0.0,1.0,1.0,0.062,-5.5,1.4,-4.0,-0.4,0.493,0.0,0.496,0.493,0.5,0.5333333333333333,12.933333333333334,1.1166666666666667,2.816666666666667,3.933333333333333,0.2,0.26666666666666666,0.95,0.6333333333333333,2.433333333333333,2.783333333333333,1.1,2.2333333333333334,0.0,0.016666666666666666,1.1,2.216666666666667,0.5833333333333334,1.1666666666666667,23000000,1.3043478260869565
15,1995.0,Andrew Lang,1964000.0,5.0,28.0,ATL,82.0,63.0,13.1,0.523,0.004,0.278,7.5,15.4,11.3,5.0,1.0,4.6,12.4,16.8,1.4,3.4,4.9,0.1,-3.2,2.1,-1.1,0.5,0.473,0.667,0.47200000000000003,0.474,0.809,0.7682926829268293,28.536585365853657,1.8780487804878048,3.682926829268293,5.560975609756097,0.8780487804878049,0.5487804878048781,1.7560975609756098,1.3170731707317074,3.3048780487804876,9.682926829268293,3.902439024390244,8.25609756097561,0.024390243902439025,0.036585365853658534,3.8780487804878048,8.21951219512195,1.853658536585366,2.292682926829268,23000000,8.539130434782608
16,1995.0,Anfernee Hardaway,5230000.0,1.0,23.0,ORL,77.0,77.0,20.8,0.599,0.218,0.405,5.7,7.5,6.6,28.5,2.3,0.6,16.1,23.7,8.2,2.5,10.7,0.177,4.9,-0.7,4.2,4.5,0.512,0.349,0.5579999999999999,0.55,0.769,1.0,37.675324675324674,1.8051948051948052,2.5584415584415585,4.363636363636363,7.1558441558441555,1.6883116883116882,0.33766233766233766,3.3506493506493507,2.051948051948052,20.948051948051948,7.597402597402597,14.831168831168831,1.12987012987013,3.2337662337662336,6.467532467532467,11.597402597402597,4.623376623376624,6.012987012987013,23000000,22.73913043478261
17,1995.0,Anthony Avent,950000.0,4.0,25.0,ORL,71.0,3.0,9.8,0.466,0.0,0.307,10.7,20.4,15.7,5.0,1.3,3.2,16.1,13.3,0.1,1.5,1.5,0.069,-3.7,1.1,-2.7,-0.2,0.43,0.0,0.43,0.43,0.64,0.04225352112676056,15.014084507042254,1.3661971830985915,2.76056338028169,4.126760563380282,0.5774647887323944,0.39436619718309857,0.704225352112676,0.7464788732394366,2.3943661971830985,3.6338028169014085,1.4788732394366197,3.436619718309859,0.0,0.0,1.4788732394366197,3.436619718309859,0.676056338028169,1.056338028169014,23000000,4.130434782608695
19,1995.0,Anthony Bowie,370000.0,2.0,31.0,ORL,77.0,4.0,11.7,0.532,0.10800000000000001,0.198,5.1,7.5,6.3,17.3,1.9,1.1,17.7,16.6,1.0,1.0,2.0,0.077,-1.2,-0.7,-2.0,0.0,0.48,0.3,0.502,0.496,0.836,0.05194805194805195,16.376623376623378,0.7012987012987013,1.103896103896104,1.8051948051948052,2.064935064935065,0.6103896103896104,0.2727272727272727,1.1168831168831168,1.7922077922077921,5.545454545454546,2.2987012987012987,4.792207792207792,0.15584415584415584,0.5194805194805194,2.142857142857143,4.2727272727272725,0.7922077922077922,0.948051948051948,23000000,1.608695652173913
